Model,H_steps,Horizon_label,MAPE_percent,WAPE_percent,RMSE,R2,PH_MAPE_percent
ARIMA,1,15-min,8.925171,8.38148,567.1555,0.8219345,8.140293
CNN_LSTM,1,15-min,9.839141,9.212221,612.4566,0.7923529,10.69365
Transformer,1,15-min,11.61215,10.67999,699.9783,0.7287657,13.31004
TA_Transformer,1,15-min,13.10548,11.97806,793.6893,0.6512804,16.26592
ARIMA,4,1-h,9.992114,9.505035,649.3668,0.7664976,9.670169
CNN_LSTM,4,1-h,10.78785,10.17237,683.7659,0.7411035,12.86602
Transformer,4,1-h,11.28351,10.71101,715.3823,0.716608,13.4013
TA_Transformer,4,1-h,11.47189,10.84695,724.0522,0.7096973,13.43478
ARIMA,16,4-h,13.28969,12.63302,859.11,0.589712,13.38637
CNN_LSTM,16,4-h,11.88927,11.25473,747.5929,0.6893141,12.01981
Transformer,16,4-h,12.38761,11.52571,762.0893,0.6771483,13.52631
TA_Transformer,16,4-h,12.87855,12.04516,797.3179,0.64661,12.52827
ARIMA,96,24-h,17.24817,16.19304,1078.479,0.3433926,16.00171
CNN_LSTM,96,24-h,16.8255,15.36753,1019.175,0.4136191,16.94166
Transformer,96,24-h,18.34819,16.2703,1069.941,0.3537481,15.06885
TA_Transformer,96,24-h,18.24024,16.62459,1093.992,0.3243667,16.57918
