Model,Window,N_samples,MAPE_percent,WAPE_percent,RMSE,R2
ARIMA,Thanksgiving,168,8.295721,8.165479,589.0157,0.4532707
ARIMA,Christmas,0,NaN,NaN,NaN,NaN
ARIMA,IndepDay,0,NaN,NaN,NaN,NaN
ARIMA,NewYear,0,NaN,NaN,NaN,NaN
ARIMA,Baseline,1063,10.26022,9.73811,658.3986,0.7780805
LSTM,Thanksgiving,168,32.51173,33.7784,2113.088,-6.03645
LSTM,Christmas,0,NaN,NaN,NaN,NaN
LSTM,IndepDay,0,NaN,NaN,NaN,NaN
LSTM,NewYear,0,NaN,NaN,NaN,NaN
LSTM,Baseline,1063,29.3534,32.45118,2073.566,-1.201169
CNN_LSTM,Thanksgiving,168,9.30578,9.280812,661.4718,0.3104889
CNN_LSTM,Christmas,0,NaN,NaN,NaN,NaN
CNN_LSTM,IndepDay,0,NaN,NaN,NaN,NaN
CNN_LSTM,NewYear,0,NaN,NaN,NaN,NaN
CNN_LSTM,Baseline,1063,10.92629,10.16665,676.5208,0.7656959
Transformer,Thanksgiving,168,9.430497,9.488398,672.289,0.2877531
Transformer,Christmas,0,NaN,NaN,NaN,NaN
Transformer,IndepDay,0,NaN,NaN,NaN,NaN
Transformer,NewYear,0,NaN,NaN,NaN,NaN
Transformer,Baseline,1063,11.40795,10.62391,703.4416,0.7466775
TA_Transformer,Thanksgiving,168,10.72718,10.75877,747.0831,0.1204584
TA_Transformer,Christmas,0,NaN,NaN,NaN,NaN
TA_Transformer,IndepDay,0,NaN,NaN,NaN,NaN
TA_Transformer,NewYear,0,NaN,NaN,NaN,NaN
TA_Transformer,Baseline,1063,12.32327,11.323,744.4526,0.7162788
