Model,Window,N_samples,MAPE_percent,WAPE_percent,RMSE,R2
ARIMA,Thanksgiving,168,45.1740533044298,35.6121629202225,106.128024279066,0.566200386800733
ARIMA,Christmas,0,NaN,NaN,NaN,NaN
ARIMA,IndepDay,0,NaN,NaN,NaN,NaN
ARIMA,NewYear,0,NaN,NaN,NaN,NaN
ARIMA,Baseline,1063,52.4227098790637,39.8330526890091,113.746080266516,0.532055825063213
LSTM,Thanksgiving,168,46.5898039903607,44.051939586462,125.478753116288,0.393585760335725
LSTM,Christmas,0,NaN,NaN,NaN,NaN
LSTM,IndepDay,0,NaN,NaN,NaN,NaN
LSTM,NewYear,0,NaN,NaN,NaN,NaN
LSTM,Baseline,1063,58.5425729149224,48.5361682956451,128.151090928678,0.406028261616362
CNN_LSTM,Thanksgiving,168,36.9929261913101,28.7382231331102,89.1283901320871,0.694042484051653
CNN_LSTM,Christmas,0,NaN,NaN,NaN,NaN
CNN_LSTM,IndepDay,0,NaN,NaN,NaN,NaN
CNN_LSTM,NewYear,0,NaN,NaN,NaN,NaN
CNN_LSTM,Baseline,1063,43.5901462429146,32.2149869894181,93.738330544332,0.682198754186091
Transformer,Thanksgiving,168,37.6445819157875,29.1750791273751,89.8019833871139,0.689400423511382
Transformer,Christmas,0,NaN,NaN,NaN,NaN
Transformer,IndepDay,0,NaN,NaN,NaN,NaN
Transformer,NewYear,0,NaN,NaN,NaN,NaN
Transformer,Baseline,1063,45.0862552918192,33.2486655562593,96.5266771085897,0.663010880958872
TA_Transformer,Thanksgiving,168,36.5967523365204,29.0351799088135,89.7176665521181,0.689983405705717
TA_Transformer,Christmas,0,NaN,NaN,NaN,NaN
TA_Transformer,IndepDay,0,NaN,NaN,NaN,NaN
TA_Transformer,NewYear,0,NaN,NaN,NaN,NaN
TA_Transformer,Baseline,1063,44.2776553456509,33.3061587693972,97.0542959313295,0.659316819511406
PureGAT,Thanksgiving,168,40.0071198294033,31.3551184973033,95.9175640403257,0.645655836919475
PureGAT,Christmas,0,NaN,NaN,NaN,NaN
PureGAT,IndepDay,0,NaN,NaN,NaN,NaN
PureGAT,NewYear,0,NaN,NaN,NaN,NaN
PureGAT,Baseline,1063,50.4940359891417,36.2018391113034,102.852867452771,0.617392063757344
