ModelA,ModelB,Wilcoxon_p,Wilcoxon_sig,DM_HLN_p
ARIMA,LSTM,1.38318070074129e-120,1,0
ARIMA,CNN_LSTM,0.000889877220581504,1,0.061139274142606
ARIMA,Transformer,2.81401160597696e-06,1,0.000453006799048028
ARIMA,TA_Transformer,1.89909937058571e-15,1,1.40708333873363e-10
LSTM,CNN_LSTM,3.53442118568059e-104,1,0
LSTM,Transformer,1.69821584168064e-98,1,0
LSTM,TA_Transformer,8.16741846448616e-84,1,0
CNN_LSTM,Transformer,0.00163858117593032,1,2.6428117042343e-05
CNN_LSTM,TA_Transformer,5.06140305199641e-22,1,0
Transformer,TA_Transformer,2.74916337983241e-17,1,2.22044604925031e-16
