ModelA,ModelB,Wilcoxon_p,Wilcoxon_sig,DM_HLN_p
ARIMA,LSTM,1.12830970791357e-20,1,0
ARIMA,CNN_LSTM,8.00446143311411e-32,1,0
ARIMA,Transformer,3.62166342737215e-13,1,0
ARIMA,TA_Transformer,1.38872056813371e-29,1,0
ARIMA,PureGAT,0.0316346223330321,1,0
LSTM,CNN_LSTM,0.994180085061906,0,0
LSTM,Transformer,0.00112246693335462,1,0
LSTM,TA_Transformer,0.414870588030798,0,0
LSTM,PureGAT,7.74785813420041e-28,1,0
CNN_LSTM,Transformer,1.17766845459239e-14,1,0
CNN_LSTM,TA_Transformer,0.0712307756605958,0,0
CNN_LSTM,PureGAT,3.29945553455873e-47,1,0
Transformer,TA_Transformer,1.97756591058917e-32,1,0
Transformer,PureGAT,6.05535524516128e-18,1,0
TA_Transformer,PureGAT,3.6779862481484e-48,1,0
